Cl.Ord.ID,Instrument,Side,Quantity,Price
ord0410,Orchid,2,130,90.0
ord0411,Lavender,2,180,46.6
ord0412,Lotus,1,720,46.9
ord0413,Rose,2,140,62.8
ord0414,Rose,2,840,47.1
ord0415,Lotus,1,830,47.5
ord0416,Tulip,2,690,27.2
ord0417,Rose,2,240,66.1
ord0418,Tulip,1,750,25.3
ord0419,Rose,2,410,41.6
ord0420,Lavender,2,490,37.5
ord0421,Rose,2,960,77.5
ord0422,Rose,1,910,51.1
ord0423,Lotus,1,370,45.7
ord0424,Tulip,1,860,28.8
ord0425,Rose,2,650,61.7
ord0426,Lavender,1,290,32.3
ord0427,Rose,1,210,46.3
ord0428,Lavender,2,380,29.7
ord0429,Rose,1,160,49.8
ord0430,Orchid,1,130,73.2
ord0431,Tulip,2,120,22.6
ord0432,Orchid,1,820,52.6
ord0433,Lavender,1,20,20.3
ord0434,Rose,1,290,41.3
ord0435,Tulip,2,50,40.9
ord0436,Lotus,2,840,46.4
ord0437,Lotus,2,410,39.3
ord0438,Orchid,2,800,53.0
ord0439,Lotus,1,100,39.9
ord0440,Lavender,2,710,22.2
ord0441,Orchid,2,420,63.7
ord0442,Lavender,2,130,36.8
ord0443,Rose,1,740,75.2
ord0444,Lavender,1,1000,44.5
ord0445,Lavender,2,50,46.6
ord0446,Lavender,1,320,40.0
ord0447,Rose,2,690,69.7
ord0448,Lavender,2,830,30.5
ord0449,Lavender,1,870,34.0
ord0450,Orchid,1,650,80.7
ord0451,Lavender,1,40,35.7
ord0452,Orchid,2,580,65.0
ord0453,Rose,2,830,75.3
ord0454,Tulip,2,930,20.7
ord0455,Tulip,1,500,44.5
ord0456,Orchid,2,960,58.9
ord0457,Lotus,2,860,37.7
ord0458,Tulip,2,160,16.6
ord0459,Tulip,1,80,33.4
ord0460,Orchid,2,110,90.7
ord0461,Orchid,1,660,95.8
ord0462,Orchid,2,220,71.2
ord0463,Lotus,2,800,46.6
ord0464,Lavender,1,10,35.3
ord0465,Lavender,2,600,20.6
ord0466,Rose,2,690,48.2
ord0467,Orchid,1,750,52.2
ord0468,Orchid,1,640,67.1
ord0469,Lavender,1,700,47.1
ord0470,Lavender,2,40,47.0
ord0471,Rose,1,750,77.5
ord0472,Orchid,1,970,93.8
ord0473,Lavender,1,720,46.2
ord0474,Orchid,2,640,78.1
ord0475,Orchid,1,260,81.5
ord0476,Lotus,1,10,59.9
ord0477,Lotus,2,430,55.0
ord0478,Orchid,1,930,87.6
ord0479,Tulip,1,650,38.6
ord0480,Lotus,2,920,48.1
ord0481,Lavender,1,690,44.9
ord0482,Tulip,2,90,40.4
ord0483,Orchid,1,140,59.1
ord0484,Lavender,1,800,25.0
ord0485,Rose,1,680,75.5
ord0486,Lavender,2,230,28.0
ord0487,Lotus,2,850,42.4
ord0488,Tulip,2,90,28.3
ord0489,Lotus,2,120,39.1
ord0490,Orchid,1,70,95.1
ord0491,Tulip,1,390,24.2
ord0492,Rose,1,530,50.0
ord0493,Rose,2,600,68.5
ord0494,Lavender,1,990,28.2
ord0495,Rose,1,970,68.2
ord0496,Lotus,1,320,56.1
ord0497,Lavender,2,670,26.5
ord0498,Rose,2,710,60.8
ord0499,Lotus,1,230,46.6
ord0500,Lavender,2,450,22.7
ord0501,Rose,1,440,54.6
ord0502,Orchid,1,720,97.7
ord0503,Orchid,1,440,85.4
ord0504,Lavender,2,210,42.2
ord0505,Lotus,2,890,58.9
ord0506,Tulip,2,390,15.8
ord0507,Orchid,2,510,83.9
ord0508,Orchid,1,910,51.8
ord0509,Orchid,1,730,81.4
ord0510,Tulip,2,770,17.2
ord0511,Tulip,2,150,36.0
ord0512,Tulip,2,820,31.5
ord0513,Lavender,2,460,28.5
ord0514,Rose,2,270,70.2
ord0515,Tulip,1,120,29.0
ord0516,Lotus,1,680,32.1
ord0517,Lavender,1,20,28.1
ord0518,Orchid,1,850,73.6
ord0519,Lotus,2,590,45.9
ord0520,Tulip,1,140,26.3
ord0521,Rose,2,120,48.5
ord0522,Rose,1,980,63.0
ord0523,Lavender,1,550,48.3
ord0524,Orchid,2,880,80.1
ord0525,Lavender,1,990,42.5
ord0526,Rose,2,30,51.8
ord0527,Tulip,1,970,28.6
ord0528,Tulip,2,830,39.8
ord0529,Lavender,2,410,44.1
ord0530,Rose,2,980,47.2
ord0531,Lotus,1,320,46.0
ord0532,Lavender,2,930,27.9
ord0533,Lotus,1,870,32.6
ord0534,Tulip,1,990,25.3
ord0535,Tulip,2,20,17.8
ord0536,Orchid,2,990,73.2
ord0537,Tulip,1,150,40.7
ord0538,Lavender,1,910,21.9
ord0539,Tulip,2,760,23.1
ord0540,Lotus,2,960,45.9
ord0541,Tulip,2,990,34.5
ord0542,Rose,1,500,53.5
ord0543,Rose,2,530,79.5
ord0544,Tulip,1,780,27.3
ord0545,Orchid,1,920,79.0
ord0546,Tulip,2,950,27.3
ord0547,Orchid,2,610,85.0
ord0548,Rose,2,840,48.8
ord0549,Orchid,2,540,67.1
ord0550,Lotus,2,530,54.4
ord0551,Tulip,2,870,28.1
ord0552,Rose,1,320,58.3
ord0553,Orchid,2,520,83.3
ord0554,Rose,1,610,66.5
ord0555,Orchid,2,190,72.3
ord0556,Rose,1,630,68.2
ord0557,Lotus,1,820,53.3
ord0558,Rose,1,880,70.6
ord0559,Tulip,2,700,40.9
ord0560,Rose,2,580,42.4
ord0561,Lotus,2,670,47.3
ord0562,Lavender,1,300,30.9
ord0563,Tulip,1,890,29.2
ord0564,Lotus,1,620,54.6
ord0565,Lotus,2,490,39.2
ord0566,Tulip,2,510,30.5
ord0567,Rose,1,650,64.5
ord0568,Lavender,2,10,48.5
ord0569,Tulip,1,770,30.0
ord0570,Tulip,1,850,37.9
ord0571,Orchid,1,910,67.8
ord0572,Lavender,2,540,27.0
ord0573,Lotus,2,370,37.0
ord0574,Lavender,1,210,25.2
ord0575,Lavender,2,670,49.6
ord0576,Rose,1,130,69.9
ord0577,Orchid,1,950,70.4
ord0578,Orchid,1,620,73.8
ord0579,Orchid,1,420,87.8
ord0580,Lavender,2,420,46.1
ord0581,Tulip,1,180,33.9
ord0582,Rose,1,120,77.8
ord0583,Lavender,2,660,32.6
ord0584,Lotus,2,310,44.6
ord0585,Rose,2,130,65.7
ord0586,Lavender,2,910,44.8
ord0587,Tulip,1,620,32.2
ord0588,Rose,2,360,53.2
ord0589,Lotus,1,420,59.4
ord0590,Rose,1,490,57.2
ord0591,Tulip,2,740,35.7
ord0592,Lotus,1,810,40.0
ord0593,Lotus,2,310,32.6
ord0594,Tulip,1,770,30.4
ord0595,Lotus,1,730,53.8
ord0596,Rose,2,450,64.8
ord0597,Orchid,1,670,99.4
ord0598,Rose,1,250,75.2
ord0599,Rose,1,50,47.8
ord0600,Lotus,1,500,38.4
ord0601,Orchid,2,60,78.6
ord0602,Lavender,1,490,44.7
ord0603,Lotus,2,40,34.7
ord0604,Lavender,1,760,22.4
ord0605,Lavender,1,70,32.7
ord0606,Lotus,1,620,55.1
ord0607,Tulip,2,130,44.9
ord0608,Tulip,2,560,20.7
ord0609,Rose,1,840,63.6
ord0610,Rose,2,300,60.6
ord0611,Lavender,1,40,37.6
ord0612,Lavender,1,280,37.8
ord0613,Rose,1,60,69.4
ord0614,Lotus,1,210,42.3
ord0615,Orchid,2,470,56.0
ord0616,Orchid,1,600,71.5
ord0617,Orchid,1,510,94.2
ord0618,Tulip,1,170,33.3
ord0619,Lavender,1,610,48.4
ord0620,Orchid,1,650,89.7
ord0621,Lotus,1,530,41.4
ord0622,Lotus,1,630,35.6
ord0623,Lavender,1,640,37.1
ord0624,Lavender,1,730,46.2
ord0625,Lavender,1,480,24.5
ord0626,Orchid,1,50,56.5
ord0627,Lavender,2,900,45.5
ord0628,Lavender,1,990,43.7
ord0629,Lavender,2,380,42.1
ord0630,Tulip,2,790,24.3
ord0631,Orchid,2,1000,86.2
ord0632,Orchid,1,380,62.2
ord0633,Lavender,2,150,27.2
ord0634,Lavender,1,710,33.7
ord0635,Lavender,2,870,41.8
ord0636,Lotus,1,170,49.1
ord0637,Rose,2,710,55.9
ord0638,Lavender,2,460,48.8
ord0639,Orchid,2,270,51.2
ord0640,Rose,1,570,75.1
ord0641,Orchid,2,480,67.1
ord0642,Lotus,2,190,57.4
ord0643,Orchid,2,550,94.9
ord0644,Lavender,2,240,41.4
ord0645,Tulip,1,10,20.7
ord0646,Rose,1,800,68.5
ord0647,Lotus,1,780,56.0
ord0648,Rose,2,360,47.5
ord0649,Lavender,2,610,42.4
ord0650,Lavender,2,910,38.4
ord0651,Tulip,2,180,29.4
ord0652,Lavender,1,1000,45.1
ord0653,Rose,2,150,56.8
ord0654,Lavender,1,140,41.0
ord0655,Tulip,1,460,16.0
ord0656,Tulip,1,420,19.3
ord0657,Lotus,1,110,51.1
ord0658,Tulip,1,800,40.1
ord0659,Rose,1,20,75.8
ord0660,Lavender,1,930,45.3
ord0661,Lavender,2,800,45.8
ord0662,Orchid,1,20,61.8
ord0663,Lavender,1,80,47.8
ord0664,Rose,2,140,44.0
ord0665,Orchid,1,890,82.7
ord0666,Lotus,1,110,51.9
ord0667,Tulip,1,100,15.5
ord0668,Tulip,1,240,26.7
ord0669,Lavender,1,940,38.1
ord0670,Orchid,2,870,66.9
ord0671,Lotus,1,960,45.3
ord0672,Orchid,1,380,89.8
ord0673,Lavender,1,920,40.8
ord0674,Lotus,1,260,35.6
ord0675,Orchid,1,180,76.9
ord0676,Rose,1,520,73.3
ord0677,Lavender,1,490,33.3
ord0678,Rose,2,760,62.7
ord0679,Lotus,2,630,56.6
ord0680,Lavender,2,50,39.8
ord0681,Orchid,2,30,53.2
ord0682,Rose,1,340,64.9
ord0683,Lotus,1,550,47.7
ord0684,Lotus,1,480,51.8
ord0685,Tulip,1,540,31.0
ord0686,Lotus,2,130,38.1
ord0687,Tulip,2,470,42.6
ord0688,Rose,2,210,65.9
ord0689,Rose,1,570,44.3
ord0690,Lavender,1,960,35.2
ord0691,Rose,1,310,66.4
ord0692,Tulip,1,40,26.2
ord0693,Orchid,2,260,57.4
ord0694,Tulip,2,810,25.1
ord0695,Orchid,1,510,59.1
ord0696,Tulip,1,770,37.6
ord0697,Lavender,2,530,48.7
ord0698,Lavender,2,360,48.8
ord0699,Lotus,1,150,30.9
ord0700,Rose,2,690,68.8
ord0701,Lotus,2,160,42.1
ord0702,Tulip,1,520,19.7
ord0703,Lavender,1,980,24.0
ord0704,Tulip,1,910,30.6
ord0705,Tulip,2,310,37.0
ord0706,Lavender,2,740,28.9
ord0707,Tulip,1,640,22.3
ord0708,Lavender,1,220,41.7
ord0709,Orchid,2,290,62.0
ord0710,Lavender,1,520,26.8
ord0711,Orchid,1,520,78.1
ord0712,Tulip,2,600,43.9
ord0713,Rose,1,250,67.4
ord0714,Tulip,2,900,36.7
ord0715,Tulip,1,530,42.7
ord0716,Tulip,1,550,16.8
ord0717,Rose,2,810,62.8
ord0718,Lotus,1,240,42.2
ord0719,Tulip,2,980,29.2
ord0720,Rose,2,150,72.2
ord0721,Orchid,1,30,55.6
ord0722,Lotus,1,800,58.3
ord0723,Lotus,2,220,35.0
ord0724,Orchid,2,240,96.9
ord0725,Orchid,1,230,55.4
ord0726,Orchid,2,750,68.7
ord0727,Tulip,2,290,20.9
ord0728,Tulip,1,960,42.0
ord0729,Tulip,2,740,42.6
ord0730,Tulip,1,990,31.3
ord0731,Lotus,2,560,46.8
ord0732,Orchid,2,780,57.4
ord0733,Rose,1,280,70.8
ord0734,Orchid,2,550,50.1
ord0735,Tulip,2,140,22.9
ord0736,Tulip,2,550,24.1
ord0737,Rose,2,860,77.6
ord0738,Lavender,2,240,32.5
ord0739,Orchid,1,370,78.2
ord0740,Rose,1,200,68.4
ord0741,Orchid,1,60,68.9
ord0742,Lotus,2,880,49.3
ord0743,Orchid,1,340,99.8
ord0744,Orchid,2,770,72.8
ord0745,Tulip,1,480,36.9
ord0746,Tulip,2,710,41.9
ord0747,Rose,2,890,76.4
ord0748,Orchid,1,920,58.3
ord0749,Lotus,1,500,37.9
ord0750,Lotus,1,80,38.7
ord0751,Lavender,2,810,43.1
ord0752,Lotus,2,850,45.0
ord0753,Lotus,2,380,31.6
ord0754,Lotus,1,170,55.8
ord0755,Orchid,2,700,51.2
ord0756,Lotus,1,910,48.9
ord0757,Lotus,1,520,31.5
ord0758,Rose,1,540,74.9
ord0759,Lavender,2,980,29.0
ord0760,Tulip,2,90,44.2
ord0761,Orchid,2,240,90.2
ord0762,Rose,2,790,53.0
ord0763,Rose,1,710,60.7
ord0764,Orchid,1,100,92.5
ord0765,Orchid,1,610,54.4
ord0766,Orchid,1,380,90.2
ord0767,Lavender,1,700,34.0
ord0768,Tulip,1,710,16.9
ord0769,Lotus,2,180,43.9
ord0770,Lavender,2,60,43.1
ord0771,Lavender,2,650,33.1
ord0772,Lotus,2,960,44.4
ord0773,Lavender,2,730,36.4
ord0774,Lotus,2,840,56.1
ord0775,Lotus,1,460,47.7
ord0776,Orchid,2,870,68.5
ord0777,Lotus,2,780,32.5
ord0778,Orchid,2,260,65.9
ord0779,Lavender,2,710,24.5
ord0780,Lotus,1,90,37.4
ord0781,Rose,1,230,66.3
ord0782,Rose,2,350,79.3
